,country_name,casted,gender,education,employement,closeness_party,turnout,women_in_parliament
128,Australia,95,2,4,7,2,89.82,999.0
129,Australia,95,1,5,5,3,87.65,999.0
130,Australia,95,1,8,7,2,88.2,999.0
131,Australia,95,2,7,1,9,93.03,999.0
132,Australia,95,1,7,7,1,93.17,999.0
133,Australia,95,1,4,1,2,90.26,999.0
134,Australia,95,2,8,7,9,93.67,999.0
135,Australia,95,1,5,7,1,92.4,999.0
136,Australia,95,2,8,1,9,87.65,999.0
137,Australia,95,1,4,5,9,88.82,999.0
138,Australia,95,1,8,7,2,90.82,999.0
139,Australia,95,1,7,1,9,90.06,999.0
140,Australia,95,1,7,1,2,93.28,999.0
141,Australia,95,1,7,5,2,93.31,999.0
142,Australia,95,1,6,2,2,93.03,999.0
143,Australia,95,1,4,1,2,999.0,999.0
144,Australia,95,1,7,2,3,92.65,999.0
145,Australia,95,1,8,1,3,94.35,999.0
146,Australia,95,1,99,97,9,999.0,999.0
147,Australia,95,2,4,7,2,92.53,999.0
148,Australia,95,2,5,7,2,93.65,999.0
149,Australia,95,1,4,8,1,93.3,999.0
150,Australia,95,2,8,7,2,94.97,999.0
151,Australia,95,2,6,7,2,91.6,999.0
152,Australia,95,2,7,7,2,93.28,999.0
153,Australia,95,1,3,1,1,93.4,999.0
154,Australia,95,1,6,1,2,88.2,999.0
155,Australia,95,1,4,6,9,92.12,999.0
156,Australia,95,2,8,2,2,94.14,999.0
157,Australia,95,1,7,2,2,91.67,999.0
158,Australia,95,1,7,1,2,93.6,999.0
159,Australia,95,1,8,1,2,91.52,999.0
160,Australia,95,2,5,1,9,90.4,999.0
161,Australia,95,1,5,1,9,90.54,999.0
162,Australia,95,2,7,2,2,93.24,999.0
163,Australia,95,2,7,1,9,83.08,999.0
164,Australia,95,2,5,2,9,999.0,999.0
165,Australia,95,1,5,1,2,90.92,999.0
166,Australia,95,1,5,7,9,93.47,999.0
167,Australia,95,1,5,1,2,94.13,999.0
168,Australia,95,2,8,7,2,93.05,999.0
169,Australia,95,2,4,7,2,88.82,999.0
170,Australia,95,2,8,6,2,91.33,999.0
171,Australia,95,1,7,1,3,91.05,999.0
172,Australia,95,2,6,7,2,90.28,999.0
173,Australia,95,2,8,1,2,92.09,999.0
174,Australia,95,1,6,7,2,93.24,999.0
175,Australia,95,1,4,7,9,94.53,999.0
