,Thermo_republican,gender,age,government,interTrust,elecTrust,religion,relImportance,newReligion
144,0,-1,34,1,3,3,11,1,-1
145,0,-1,45,1,2,5,12,5,4
146,0,-1,40,1,2,5,3,4,-1
147,70,-6,28,1,2,3,1,1,-1
148,10,-1,49,1,3,3,2,4,-1
149,0,-1,37,1,2,4,11,4,-1
150,100,-1,80,2,2,4,1,1,-1
151,0,-6,55,1,2,3,2,3,-1
152,-9,-1,80,2,4,4,1,2,-1
153,0,-6,63,2,4,5,11,1,-1
154,70,-1,66,1,2,4,1,1,-1
155,60,-1,55,1,2,4,12,4,3
156,90,-1,65,1,3,2,1,1,-1
157,0,-1,69,1,2,4,12,5,4
158,85,-1,70,1,2,4,1,1,-1
159,100,-1,64,1,3,3,2,2,-1
160,100,-1,62,1,2,3,1,3,-1
161,85,-5,50,2,2,1,5,1,-1
162,30,-1,46,2,2,3,6,2,-1
163,0,-1,67,1,2,5,1,1,-1
164,0,-6,43,1,5,5,12,5,4
165,0,-1,30,1,4,3,11,5,-1
166,90,-1,80,2,2,4,1,2,-1
167,20,-1,58,1,3,2,11,3,-1
168,70,-1,29,1,4,2,12,5,4
169,0,-1,71,1,3,4,2,3,-1
170,60,-1,69,2,2,5,1,4,-1
171,0,-1,80,1,2,5,5,4,-1
172,0,-1,28,1,2,5,2,5,-1
173,0,-1,22,1,4,2,11,3,-1
174,0,-1,72,1,2,4,10,3,-1
175,0,-1,63,1,2,3,11,3,-1
176,15,-6,64,1,2,4,1,1,-1
177,0,-1,61,1,2,5,1,3,-1
178,-9,-1,60,1,5,3,11,1,-1
179,-9,-1,48,1,4,4,1,1,-1
180,85,-1,69,2,2,3,1,4,-1
181,100,-1,80,1,4,4,5,1,-1
182,85,-1,77,1,3,2,1,2,-1
183,0,-1,48,1,3,4,2,3,-1
184,0,-1,47,1,2,3,12,3,3
185,0,-6,43,1,4,1,11,5,-1
186,0,-1,71,1,3,4,2,4,-1
187,0,-1,31,1,4,1,12,5,4
188,0,-1,78,1,2,5,1,2,-1
189,0,-1,76,1,2,5,1,3,-1
190,10,-1,46,1,2,3,2,4,-1
191,75,-1,31,1,3,3,12,5,4
192,0,-1,29,1,3,3,11,3,-1
193,30,-1,69,1,2,4,2,2,-1
194,0,-1,34,1,4,1,12,5,4
195,50,-1,23,1,3,5,12,5,4
196,30,-1,61,2,2,5,5,3,-1
197,0,-1,57,2,2,4,12,5,4
198,70,-1,33,1,3,1,1,1,-1
199,60,-1,-9,1,2,4,1,3,-1
200,0,-1,71,1,2,4,2,4,-1
201,100,-1,50,2,3,4,1,2,-1
202,70,-1,71,1,3,3,1,2,-1
203,85,-1,70,1,2,4,1,3,-1
204,60,-1,22,1,5,1,12,3,4
205,60,-1,24,1,3,2,2,2,-1
206,0,-1,40,1,2,2,6,2,-1
207,0,-1,49,2,2,4,9,5,-1
208,30,-1,56,2,3,4,1,1,-1
209,85,-1,59,1,4,3,1,1,-1
210,100,-1,63,1,2,5,11,1,-1
211,0,-1,73,1,2,3,12,5,4
212,0,-1,56,1,2,5,1,2,-1
213,60,-1,41,1,4,4,11,5,-1
214,60,-1,48,1,4,3,12,5,4
215,-9,-5,80,1,3,4,1,1,-1
216,0,-7,36,1,4,1,12,5,4
217,85,-1,64,1,3,3,1,3,-1
218,15,-1,28,1,2,2,2,2,-1
219,0,-1,21,1,2,3,12,5,2
220,70,-1,61,1,2,4,10,3,-1
221,0,-1,65,1,2,4,2,3,-1
222,70,-1,35,1,3,3,11,2,-1
223,5,-1,31,1,2,3,9,5,-1
224,30,-1,24,1,4,3,11,3,-1
225,15,-1,37,1,3,1,11,2,-1
226,75,-1,53,1,4,1,12,2,3
227,0,-1,34,1,2,4,11,2,-1
228,0,-1,60,1,2,1,9,5,-1
229,30,-1,66,1,2,4,1,4,-1
230,100,-1,70,2,2,1,2,3,-1
231,0,-1,51,2,2,4,12,3,3
232,0,-1,44,1,2,3,11,3,-1
233,15,-1,60,1,4,3,1,1,-1
234,85,-1,34,1,2,3,3,3,-1
235,85,-1,53,1,4,2,1,2,-1
236,0,-1,37,1,2,3,12,5,4
237,0,-1,56,1,3,1,2,3,-1
238,15,-1,46,1,3,3,12,4,4
239,0,-6,38,1,3,2,2,3,-1
240,-9,-1,63,2,2,3,11,2,-1
241,18,-1,29,1,2,4,12,5,2
242,40,-6,41,1,4,3,2,1,-1
243,30,-1,54,1,2,2,-9,-9,-1
244,100,-1,79,1,4,3,11,1,-1
245,85,-1,31,2,4,3,12,3,3
246,100,-1,50,1,4,3,10,5,-1
247,0,-1,64,1,2,4,12,4,4
248,0,-1,80,1,2,4,11,4,-1
249,0,-1,60,1,2,4,12,3,4
250,0,-6,28,1,2,3,1,1,-1
251,0,-1,46,1,4,3,12,5,4
252,0,-1,66,1,3,5,1,3,-1
253,-9,-6,63,1,4,1,7,1,-1
254,-9,-1,38,1,3,2,2,2,-1
255,100,-1,59,1,2,3,1,3,-1
256,30,-1,64,1,2,3,10,3,-1
257,100,-1,72,1,3,2,1,1,-1
258,0,-1,68,1,2,4,11,2,-1
259,70,-1,28,2,3,3,3,3,-1
260,0,-1,27,1,3,4,10,5,-1
261,0,-1,62,1,2,5,9,5,-1
